PLOT_YEAR,YEAR,GENOTYPE,PLOT,NTREATMENT,SUBPOPULATION,E,A,Ci,gsw,KERNELDRYWT_PERPLANT,DAYSTOSILK,AVGFLAGHT_CM
7101_2022,2022,787,7101,H,Mixed,0.00195955,12.89081859,134.9184196,0.066444757,47.0997,79,202.5
7303_2022,2022,787,7303,L,Mixed,0.001748305,8.134025328,328.2215805,0.091113204,31.18455,81,184.5
7042_2022,2022,52220,7042,H,Mixed,0.001735983,13.06707933,248.8303849,0.097358354,33.2540375,74,101
7309_2022,2022,52220,7309,L,Mixed,0.001509781,9.938178132,261.700331,0.076843089,32.2587,68,92
7092_2022,2022,A,7092,H,Broad origin-public ,0.002329788,15.42949631,161.4754244,0.0867044,18.59435,79,164
7074_2022,2022,A321,7074,H,Broad origin-public ,0.002813363,16.37491887,250.8592995,0.122875761,29.2127625,69,124
7336_2022,2022,A321,7336,L,Broad origin-public ,0.00232713,12.75523523,329.6608719,0.151961376,22.8072,65,117.5
7096_2022,2022,A415-1-3INBRED,7096,H,Mixed,0.003302034,19.77134015,181.2859078,0.124596679,35.3524,76,216
7308_2022,2022,A415-1-3INBRED,7308,L,Mixed,0.002117201,6.828578,370.8599234,0.107838737,23.497475,76,187
7113_2022,2022,A654,7113,H,Broad origin-public ,0.00433298,21.95898319,232.1001495,0.176170637,61.1414,58,111.5
7517_2022,2022,A654,7517,L,Broad origin-public ,0.00182201,4.294084967,345.8995299,0.060658066,49.904475,58,105
7049_2022,2022,A659,7049,H,Broad origin-public ,0.00308668,11.90165115,355.6983829,0.185970752,56.830825,67,153.5
7363_2022,2022,C123,7363,L,Mixed,0.00284709,16.22697489,238.6796571,0.118817934,39.90272,67,105
7317_2022,2022,A659,7317,L,Broad origin-public ,0.000895099,6.094403608,315.2276272,0.051099834,52.3138,65,150.5
7385_2022,2022,A674,7385,L,Mixed,0.003536496,18.98424375,256.2075864,0.17481729,40.898,65,129.5
7193_2022,2022,AM0776,7193,H,IDT,0.005638284,23.18355215,287.3888555,0.242418052,69.1076,61,156.5
7418_2022,2022,AM0776,7418,L,IDT,0.003676702,17.75512676,251.6450981,0.137856436,49.9722,64,142
7003_2022,2022,B10,7003,H,SS-BSSSC0,0.002276639,16.63409594,246.8355856,0.125279784,37.96065,80,166.5
7319_2022,2022,B10,7319,L,SS-BSSSC0,0.00131485,10.60778852,236.9515133,0.072702874,44.0319375,77,163
7103_2022,2022,B108,7103,H,Mixed,0.002572492,16.97747251,146.1709677,0.08946136,56.16545714,72,182.5
7347_2022,2022,B108,7347,L,Mixed,0.002551736,12.43386944,330.9088781,0.150082948,41.82765,77,181.5
7007_2022,2022,B73,7007,H,SS-B73,0.003515442,18.93359437,299.3488886,0.199276414,54.7808,73,177.5
7017_2022,2022,B73,7017,H,SS-B73,0.002554516,17.1835573,269.8657044,0.145043864,70.2956625,72,170
7025_2022,2022,B73,7025,H,SS-B73,0.002134289,13.62042959,304.4778297,0.136819125,48.5871125,74,169.5
7027_2022,2022,B73,7027,H,SS-B73,0.001515535,5.586342345,373.9868643,0.093069649,55.99125,72,174.5
7040_2022,2022,B73,7040,H,SS-B73,0.003220374,20.96564569,256.4083112,0.172121923,67.4336,77,191.5
7369_2022,2022,LH82,7369,L,Mixed,0.00384496,14.70809575,317.1193128,0.172740419,41.7204,65,114
7037_2022,2022,A674,7037,H,Mixed,0.00177788,9.972862884,317.4020858,0.106767532,50.7384,63,120.5
7046_2022,2022,B73,7046,H,SS-B73,0.004348554,23.27132527,275.2224781,0.220151241,63.7035,74,173.5
7081_2022,2022,B73,7081,H,SS-B73,0.004323971,18.27885767,312.3770129,0.212683615,83.615375,72,195
7102_2022,2022,B73,7102,H,SS-B73,0.00440259,26.23035764,187.2349208,0.182231332,73.3010625,73,182.5
7145_2022,2022,B73,7145,H,SS-B73,0.005620738,23.82546992,284.7019792,0.25394908,59.799,72,168.5
7201_2022,2022,B73,7201,H,SS-B73,0.005680164,27.1840327,260.4934773,0.249936582,87.3278,69,176.5
7316_2022,2022,B73,7316,L,SS-B73,0.002082381,10.35715084,271.593667,0.110038775,40.7381625,72,167
7331_2022,2022,B73,7331,L,SS-B73,0.001833499,14.61873509,169.8038365,0.098252513,6.9888,76,174
7335_2022,2022,B73,7335,L,SS-B73,0.002434164,28.19562638,196.5938874,0.184225181,41.862375,74,174.5
7348_2022,2022,B73,7348,L,SS-B73,0.001545385,9.132007993,273.4746569,0.079245423,26.15652857,76,172.5
7362_2022,2022,B73,7362,L,SS-B73,0.003145648,14.30221057,276.6947006,0.134616758,37.6223,76,163
7376_2022,2022,B73,7376,L,SS-B73,0.002978,13.94673537,262.2746423,0.120887454,64.8966625,82,170.5
7388_2022,2022,B73,7388,L,SS-B73,0.001710927,11.42542095,194.920818,0.070695443,29.493,74,160.5
7394_2022,2022,B73,7394,L,SS-B73,0.001516874,10.25891379,107.7460363,0.0466833,27.633,79,159
7409_2022,2022,B73,7409,L,SS-B73,0.00367303,21.86692785,186.434222,0.138796319,31.7343,74,166.5
7412_2022,2022,B73,7412,L,SS-B73,0.004173078,24.4867477,193.481895,0.172929075,44.9327125,72,163
