PLOT_YEAR,YEAR,GENOTYPE,PLOT,RANGE,PASS,NTREATMENT,SEEDSPLANTED,SUBPOPULATION,ID,Blue,Green,NIR,Red,RedEdge,SAVIMASK,NDVI,GNDVI,RDVI,NLI,CVI,MSR,NDI,NDVIRedge,PSRI,CIRedge,MTCI,DAP
7532_2022,2022,W601S,7532,14,39,L,90,NSS-Mo17,7532_2022_12,0.091189273,0.145233109,0.280865644,0.22283805,0.24638653,1,0.115201843,0.318312443,0.081761151,-0.477100761,3.739951487,0.122676507,0.050185947,0.065393972,0.534318077,0.139939119,1.464175777,12
7387_2022,2022,DE3,7387,6,46,L,90,NSS-Oh43,7387_2022_12,0.101607386,0.154019457,0.293829547,0.232626046,0.257375181,1,0.116255771,0.312181313,0.084352002,-0.458644957,3.639483504,0.12387643,0.050508312,0.066135801,0.509057087,0.141639011,1.472955156,12
7390_2023,2023,R168,7390,6,35,H,62,,7390_2023_34,0.01184674,0.015442071,0.028665743,0.022680476,0.026673134,0.031507877,0.11656685,0.299803386,0.026413703,-0.930072521,3.44600034,0.124230903,0.080899006,0.036007399,0.406166594,0.07470472,0.49906829,34
7369_2022,2022,LH82,7369,5,43,L,90,Mixed,7369_2022_12,0.099208619,0.150919996,0.288879176,0.228553399,0.251848345,1,0.11658674,0.313686766,0.08386409,-0.465064397,3.663860277,0.124253572,0.048490553,0.068483348,0.513582013,0.147036229,1.589650862,12
7401_2022,2022,LH38,7401,7,49,L,90,NSS-Oh43,7401_2022_12,0.112696745,0.170940775,0.32393511,0.256218717,0.285561363,1,0.116721445,0.309156982,0.088904191,-0.418894205,3.591076912,0.124407115,0.054159699,0.062959752,0.502595906,0.134380039,1.30778073,12
7420_2022,2022,PHRE1,7420,8,41,L,90,SS-B37,7420_2022_12,0.096886152,0.150767379,0.292128292,0.231046306,0.254917076,1,0.116752584,0.319174294,0.084448089,-0.460537807,3.754330219,0.124442611,0.049120512,0.068022175,0.526289396,0.145973807,1.558861151,12
7423_2022,2022,Mo30W,7423,8,44,L,90,Mixed,7423_2022_12,0.099221668,0.1511564,0.291860561,0.230770064,0.254888005,1,0.116890389,0.317604456,0.084503798,-0.460788908,3.728187498,0.12459972,0.049660332,0.067622593,0.516102733,0.145054123,1.532989736,12
7407_2022,2022,NC236,7407,7,43,L,90,Mixed,7407_2022_12,0.099709948,0.152978064,0.295206608,0.233380198,0.257566261,1,0.116965481,0.317343615,0.085038555,-0.456227379,3.723864144,0.124685343,0.049264156,0.068093695,0.518974222,0.1461385,1.556282517,12
7402_2022,2022,W117HT,7402,7,48,L,90,Broad origin-public ,7402_2022_12,0.112094402,0.169410689,0.321263089,0.253843584,0.283266506,1,0.117229565,0.309477308,0.088901964,-0.4218796,3.596168596,0.124986524,0.054780058,0.06285314,0.500409258,0.134137225,1.291393934,12
7403_2022,2022,W802G,7403,7,47,L,90,Mixed,7403_2022_12,0.105265319,0.158419803,0.303148006,0.239487367,0.265977228,1,0.117317525,0.313557835,0.086420534,-0.445367691,3.661765209,0.125086862,0.052406956,0.065312124,0.504637367,0.139751731,1.403207741,12
7383_2022,2022,PHJ70,7383,6,42,L,90,Mixed,7383_2022_12,0.095927958,0.147750437,0.285828676,0.225783658,0.248847741,1,0.117364289,0.318461464,0.08394725,-0.468599044,3.742433113,0.125140212,0.048593673,0.069165076,0.521827924,0.148608683,1.60339932,12
7388_2022,2022,B73,7388,6,47,L,90,SS-B73,7388_2022_12,0.106043755,0.160786281,0.305285794,0.241058982,0.268384284,1,0.117557291,0.310036839,0.086892635,-0.442351088,3.605082527,0.125360426,0.053637576,0.064325318,0.503066815,0.137495048,1.350452046,12
7390_2022,2022,CI_91B,7390,6,49,L,90,Mixed,7390_2022_12,0.110536654,0.168339875,0.319259884,0.252034356,0.281056083,1,0.117672336,0.309516168,0.088941469,-0.424078882,3.596786855,0.125491716,0.054440532,0.063639488,0.503450061,0.135929458,1.316386203,12
7385_2022,2022,A674,7385,6,44,L,90,Mixed,7385_2022_12,0.098293143,0.150675107,0.289067896,0.228116834,0.251786553,1,0.117851627,0.314712885,0.084753654,-0.463802421,3.680583762,0.125696363,0.049321842,0.068930455,0.515610105,0.148067252,1.575064875,12
7371_2022,2022,Oh43,7371,5,41,L,90,NSS-Oh43,7371_2022_12,0.096026149,0.146688615,0.282695942,0.223016503,0.245859908,1,0.11801062,0.316749461,0.083921437,-0.472379278,3.714037912,0.125877879,0.048719459,0.069691848,0.516515096,0.149825298,1.612545678,12
7386_2022,2022,PHN11,7386,6,45,L,90,IDT,7386_2022_12,0.099563953,0.151934758,0.290743563,0.229305106,0.25393857,1,0.118139822,0.313565852,0.085195824,-0.461300997,3.661895442,0.126025411,0.050975243,0.067571508,0.510915506,0.1449366,1.494105458,12
7389_2022,2022,LH231,7389,6,48,L,90,SS-B73,7389_2022_12,0.109643812,0.166528656,0.316247264,0.249201067,0.278176483,1,0.118571748,0.310120289,0.089161566,-0.427213662,3.606414162,0.126518789,0.054942453,0.064046534,0.501686029,0.136858373,1.313899376,12
7366_2022,2022,H71,7366,5,46,L,90,Broad origin-public ,7366_2022_12,0.100479899,0.152087605,0.290570977,0.228815871,0.253761,1,0.118900019,0.312844656,0.085689458,-0.460927673,3.650201385,0.126893943,0.051691514,0.067624131,0.505735602,0.145057661,1.475637869,12
7365_2022,2022,R134,7365,5,47,L,90,Broad origin-public ,7365_2022_12,0.101437424,0.152952091,0.29260334,0.230408753,0.255921559,1,0.118916155,0.313431819,0.085999658,-0.458165728,3.659718836,0.126912387,0.052459831,0.066873502,0.503948669,0.143332125,1.437779169,12
7363_2022,2022,C123,7363,5,49,L,90,Mixed,7363_2022_12,0.107522979,0.162805204,0.308792639,0.243127132,0.271217765,1,0.118976544,0.309559166,0.088389225,-0.436581857,3.59747109,0.12698142,0.05461439,0.064783103,0.499982562,0.138541345,1.337630021,12
7409_2022,2022,B73,7409,7,41,L,90,SS-B73,7409_2022_12,0.095731658,0.148699922,0.28857771,0.227122977,0.251186561,1,0.119167445,0.319883245,0.085576886,-0.463420905,3.766206114,0.127199676,0.050309647,0.069273109,0.523082598,0.148858079,1.553847881,12
7367_2022,2022,PHP60,7367,5,45,L,90,Mixed,7367_2022_12,0.099452313,0.15033359,0.288139956,0.22674903,0.251090245,1,0.119231383,0.314286614,0.085555392,-0.463965832,3.673625777,0.127272789,0.050940172,0.068708524,0.506975956,0.147555358,1.522097849,12
7516_2022,2022,B73,7516,13,48,L,90,SS-B73,7516_2022_12,0.105569544,0.156913176,0.311934882,0.245298782,0.274017331,1,0.119583766,0.330643805,0.089266992,-0.431974552,3.951928321,0.127675838,0.055300709,0.064710995,0.509928469,0.13837647,1.320315696,12
7347_2022,2022,B108,7347,4,44,L,90,Mixed,7347_2022_12,0.098338755,0.148310735,0.285026567,0.224085243,0.247628545,1,0.119701258,0.315495184,0.085409327,-0.46784547,3.693392897,0.127810263,0.049910142,0.070210576,0.507802879,0.151024681,1.588478201,12
7517_2022,2022,A654,7517,13,47,L,90,Broad origin-public ,7517_2022_12,0.105226231,0.158697716,0.310679176,0.244239914,0.273184813,1,0.119727836,0.323794082,0.089188727,-0.43349492,3.832506821,0.127840675,0.055940309,0.064217632,0.508863145,0.137249075,1.295370317,12
7384_2022,2022,PHW03,7384,6,43,L,90,Mixed,7384_2022_12,0.099626447,0.153187823,0.294741215,0.231706786,0.256792607,1,0.119735337,0.316017449,0.086876053,-0.45462609,3.701973029,0.127849258,0.051352819,0.068805586,0.514346346,0.147779208,1.512751287,12
7001_2022,2022,LH82,7001,2,15,H,90,Mixed,7001_2022_12,0.102246818,0.158256778,0.307342042,0.241574657,0.265280932,1,0.119813052,0.320201121,0.088768188,-0.437799803,3.771545104,0.127938188,0.046771261,0.07345341,0.525208646,0.158553084,1.774260612,12
7529_2023,2023,PHK93,7529,13,37,H,62,,7529_2023_34,0.011954067,0.015327222,0.028520128,0.022411262,0.026165285,0.023705926,0.119943045,0.30088263,0.027068727,-0.929953962,3.462390481,0.128086959,0.077280565,0.04306163,0.399659128,0.089998752,0.627285182,34
7364_2022,2022,Va85,7364,5,48,L,90,Mixed,7364_2022_12,0.104320163,0.157437606,0.300689195,0.236232065,0.263270515,1,0.120049502,0.312689824,0.087966166,-0.446410021,3.647696448,0.128208813,0.054130751,0.066349917,0.501050799,0.142130158,1.383906252,12
7012_2022,2022,H71,7012,2,26,H,90,Broad origin-public ,7012_2022_12,0.097133607,0.151866676,0.297203412,0.233444116,0.257135212,1,0.120153761,0.323639316,0.087526677,-0.450981916,3.829857429,0.128328166,0.04829208,0.07228109,0.530112185,0.155825411,1.691276756,12
7025_2022,2022,B73,7025,3,28,H,90,SS-B73,7025_2022_12,0.099172192,0.152317171,0.296535576,0.232890987,0.257967991,1,0.120214197,0.321304495,0.087469898,-0.451828691,3.790145464,0.12839736,0.051088001,0.069553358,0.518354213,0.149505312,1.537966218,12
7382_2022,2022,Oh7B,7382,6,41,L,90,Mixed,7382_2022_12,0.095783615,0.148296973,0.287231929,0.225531762,0.249917121,1,0.120328658,0.319002839,0.086164368,-0.464330585,3.751464637,0.128528421,0.051289129,0.069468257,0.519164699,0.14930873,1.530213601,12
7408_2022,2022,PHPR5,7408,7,42,L,90,Mixed,7408_2022_12,0.097510999,0.15120408,0.292923772,0.22988263,0.254913297,1,0.120582192,0.31909661,0.087187379,-0.45639608,3.753031554,0.128818791,0.051631348,0.06938281,0.519280997,0.149111386,1.518556217,12
7009_2022,2022,PHK76,7009,2,23,H,90,NSS-Oh43,7009_2022_12,0.09577609,0.151115427,0.296768371,0.232814684,0.258053219,1,0.120762336,0.325202529,0.08788172,-0.451073435,3.856715651,0.129025165,0.051416144,0.069779462,0.531047799,0.150027782,1.53396986,12
7368_2022,2022,C102,7368,5,44,L,90,Mixed,7368_2022_12,0.098049327,0.149086103,0.286721434,0.224816516,0.249174371,1,0.121017254,0.315816775,0.086553817,-0.464480129,3.698673491,0.12931728,0.051388868,0.070064111,0.508748907,0.150685895,1.541476579,12
7006_2022,2022,B8,7006,2,20,H,90,Broad origin-public ,7006_2022_12,0.102521419,0.158880583,0.308035315,0.241480053,0.266685375,1,0.121116289,0.319446677,0.089782662,-0.435818071,3.758887859,0.129430791,0.049600623,0.071947888,0.521058322,0.155051397,1.640524172,12
7404_2022,2022,PHM10,7404,7,46,L,90,IDT,7404_2022_12,0.102232945,0.154265853,0.298017073,0.233605529,0.259865678,1,0.121160281,0.317834726,0.088340935,-0.449077246,3.73200898,0.129481219,0.05321516,0.068386045,0.505540343,0.146811981,1.452824773,12
7011_2022,2022,C123,7011,2,25,H,90,Mixed,7011_2022_12,0.09427133,0.147263489,0.290397617,0.227626783,0.250512486,1,0.121173508,0.32704329,0.087213314,-0.459344558,3.888623757,0.129496381,0.047864094,0.073737079,0.532330564,0.159214144,1.742796846,12
7405_2022,2022,CM99,7405,7,45,L,90,SS-B14,7405_2022_12,0.099460416,0.151486342,0.292796246,0.229494968,0.255098841,1,0.121199201,0.318063115,0.087590321,-0.45607266,3.735803729,0.129525834,0.052835741,0.068804057,0.509741838,0.147775681,1.472332135,12
7013_2022,2022,ZS01250,7013,2,27,H,90,Mixed,7013_2022_12,0.093854451,0.146629317,0.28890652,0.226443992,0.249357831,1,0.12120397,0.326671633,0.087009806,-0.461348674,3.882156713,0.129531301,0.048158367,0.073474472,0.531723991,0.158602154,1.725973941,12
7410_2022,2022,PHK93,7410,7,40,L,90,NSS-Oh43,7410_2022_12,0.096162235,0.149700184,0.291342812,0.228119663,0.253468464,1,0.121708789,0.321153786,0.087720083,-0.457632246,3.787598597,0.130110196,0.052635851,0.069518289,0.520606887,0.149424301,1.494127789,12
7010_2022,2022,PHEM9,7010,2,24,H,90,SS-B37,7010_2022_12,0.09665005,0.152443013,0.298500551,0.233702435,0.258828285,1,0.121754514,0.323893165,0.08882265,-0.447947987,3.834204093,0.130162648,0.051013772,0.07118287,0.529510849,0.153276393,1.578942245,12
7370_2022,2022,INBRED141,7370,5,42,L,90,Broad origin-public ,7370_2022_12,0.095343042,0.145630452,0.283980381,0.222113729,0.245633432,1,0.122243375,0.322035476,0.086964293,-0.46726626,3.802526769,0.130723627,0.050282941,0.072405493,0.516097039,0.156114535,1.63041808,12
7412_2022,2022,B73,7412,7,38,L,90,SS-B73,7412_2022_12,0.095856278,0.150427101,0.292523517,0.228777371,0.256137402,1,0.122282826,0.320795164,0.088289631,-0.455570406,3.781546113,0.130768914,0.05642235,0.066318037,0.518944488,0.142057016,1.329900357,12
7032_2022,2022,NC232,7032,3,21,H,90,Mixed,7032_2022_12,0.099511631,0.154256093,0.302342826,0.236218675,0.262423041,1,0.122779201,0.324325632,0.090103665,-0.441985022,3.841622457,0.131338898,0.052551492,0.070683778,0.520941467,0.15211997,1.523402054,12
7486_2022,2022,B73,7486,11,40,L,90,SS-B73,7486_2022_12,0.095680998,0.146822428,0.288903116,0.225645472,0.250644188,1,0.122938135,0.326078399,0.088186035,-0.459966483,3.871860027,0.131521477,0.052486371,0.070909312,0.518521794,0.15264239,1.530435723,12
7029_2022,2022,CO216,7029,3,24,H,90,Broad origin-public ,7029_2022_12,0.096623891,0.151932349,0.29871229,0.233250667,0.259415149,1,0.123056732,0.325711055,0.0897524,-0.446606826,3.8655,0.131657741,0.053107971,0.070408904,0.526672311,0.151483601,1.501926963,12
7381_2022,2022,W32,7381,6,40,L,90,Broad origin-public ,7381_2022_12,0.095487704,0.147492005,0.287805215,0.224581418,0.249770855,1,0.123390801,0.322338861,0.0883246,-0.461104301,3.807679267,0.132041687,0.053102807,0.070751587,0.516848589,0.152277014,1.509932914,12
7005_2022,2022,DKHBA1,7005,2,19,H,90,Mixed,7005_2022_12,0.101858104,0.157060873,0.307036867,0.239536047,0.263100674,1,0.12349829,0.323156053,0.091302989,-0.435173952,3.821598322,0.132165258,0.046882024,0.077062445,0.523289967,0.166993844,1.864497707,12
7309_2022,2022,52220,7309,2,44,L,90,Mixed,7309_2022_12,0.0960353,0.144482818,0.279973493,0.218411852,0.241026332,1,0.123522173,0.319209943,0.087202223,-0.471792811,3.75492636,0.132192718,0.04922203,0.074754653,0.507731047,0.161588822,1.722222266,12
7004_2022,2022,DK8M129,7004,2,18,H,90,Mixed,7004_2022_12,0.104605871,0.161657823,0.313973437,0.244853888,0.268665453,1,0.123686774,0.320238863,0.092461744,-0.425918536,3.772179602,0.132381984,0.046369364,0.077763405,0.52201731,0.168640901,1.902772203,12
7014_2022,2022,PHVA9,7014,2,28,H,90,SS-B37,7014_2022_12,0.094926146,0.146945451,0.290725977,0.226719872,0.250803171,1,0.123696238,0.328512479,0.088979292,-0.456874466,3.914311512,0.132392868,0.050433794,0.073722359,0.525486681,0.15917983,1.65769673,12
7167_2022,2022,PHRE1,7167,10,29,H,90,SS-B37,7167_2022_12,0.098562781,0.14937836,0.294492859,0.229520825,0.256087095,1,0.123989193,0.326929282,0.089754276,-0.45152947,3.886638626,0.132729826,0.054707242,0.069755108,0.51138088,0.149971493,1.445658875,12
7308_2022,2022,A415-1-3INBRED,7308,2,43,L,90,Mixed,7308_2022_12,0.097422732,0.147653531,0.286368363,0.223179275,0.246332434,1,0.124010168,0.319603306,0.088521689,-0.462578175,3.761511548,0.132753955,0.049313273,0.075156503,0.51051557,0.162528045,1.72917782,12
7026_2022,2022,PHJ65,7026,3,27,H,90,Mixed,7026_2022_12,0.092973097,0.144007839,0.285795726,0.222641883,0.246385671,1,0.124211588,0.329889974,0.088568838,-0.463203817,3.938575661,0.132985708,0.050623439,0.0740538,0.526283795,0.159952707,1.659804872,12
7329_2022,2022,LH61,7329,3,45,L,90,NSS-Mo17,7329_2022_12,0.097741525,0.146439507,0.28303838,0.220465382,0.244594231,1,0.124275135,0.318057989,0.088183149,-0.466952144,3.735718503,0.133058837,0.051883346,0.072861586,0.501744692,0.157175207,1.593285656,12
7016_2022,2022,NC236,7016,2,30,H,90,Mixed,7016_2022_12,0.101769711,0.150001837,0.29580774,0.230352909,0.257927628,1,0.124400848,0.327058705,0.090236559,-0.44942075,3.888892261,0.133203523,0.056473107,0.06840833,0.49852433,0.146863336,1.373726129,12
7552_2023,2023,PHZ51,7552,14,37,H,62,,7552_2023_34,0.011822139,0.014945433,0.02802428,0.021817361,0.025586307,0.021320093,0.124532798,0.304373618,0.027802248,-0.930507459,3.516024747,0.133355412,0.079507476,0.045475589,0.39064731,0.095284286,0.646858034,34
7400_2022,2022,K64,7400,7,50,L,90,Mixed,7400_2022_12,0.107869602,0.162581852,0.315034109,0.245189422,0.27431087,1,0.124672891,0.319194226,0.093315267,-0.423715783,3.754663517,0.133516703,0.056056654,0.069099153,0.500599265,0.148456527,1.398393342,12
7406_2022,2022,NevehYaar159,7406,7,44,L,90,Mixed,7406_2022_12,0.096389619,0.147590598,0.287997038,0.224137074,0.249431712,1,0.12469383,0.322337983,0.089235327,-0.45979898,3.807664347,0.133540813,0.053412807,0.071758956,0.512154024,0.154612762,1.524644314,12
7030_2022,2022,W802G,7030,3,23,H,90,Mixed,7030_2022_12,0.093909072,0.147694752,0.29331213,0.228261981,0.254048302,1,0.124718899,0.330192983,0.090072099,-0.45253801,3.943936552,0.133569679,0.053464174,0.07173304,0.528847892,0.154552609,1.522661104,12
7485_2022,2022,N501,7485,11,41,L,90,SS-BSSSC0,7485_2022_12,0.093740145,0.143684307,0.283141931,0.220324749,0.24473508,1,0.124769294,0.32673161,0.088530534,-0.466416462,3.883199506,0.133627709,0.052488582,0.072757196,0.517231138,0.156932349,1.573385097,12
7531_2023,2023,Mo44,7531,13,35,H,62,,7531_2023_34,0.012192584,0.015998534,0.029904877,0.023266273,0.027494022,0.046511628,0.124853497,0.302947923,0.028789806,-0.925970166,3.494006139,0.133724679,0.083288503,0.042001764,0.402767154,0.087686516,0.570245537,34
7413_2022,2022,SD42,7413,7,37,L,90,Broad origin-public ,7413_2022_12,0.092857492,0.145391782,0.28539544,0.221977047,0.248725631,1,0.124993756,0.324994918,0.089033158,-0.463130209,3.853136021,0.133886227,0.056826921,0.068654489,0.519124444,0.147430761,1.37090655,12
7330_2022,2022,DK3IIH6,7330,3,44,L,90,IDT,7330_2022_12,0.093629639,0.141164726,0.275320967,0.214106946,0.236871137,1,0.125072599,0.322114885,0.087499695,-0.477065255,3.803874618,0.133977049,0.050477378,0.075069158,0.508619617,0.162323829,1.689048822,12
7350_2022,2022,PHR32,7350,4,47,L,90,Mixed,7350_2022_12,0.100139022,0.14953443,0.289029376,0.224762687,0.250669757,1,0.125083071,0.31807218,0.089658657,-0.458074607,3.73595444,0.133989113,0.05449159,0.071075932,0.497162747,0.153028508,1.48066219,12
7331_2022,2022,B73,7331,3,43,L,90,SS-B73,7331_2022_12,0.096640901,0.146376262,0.284313876,0.221066244,0.245213147,1,0.125148635,0.320271123,0.08896828,-0.464496767,3.772722023,0.134064646,0.05178634,0.073840857,0.507417096,0.159456087,1.619285463,12
7023_2022,2022,Mo24W,7023,3,30,H,90,Broad origin-public ,7023_2022_12,0.098579984,0.147219547,0.290535508,0.225888979,0.251759924,1,0.125180991,0.327388478,0.089958416,-0.455939933,3.894641444,0.134101925,0.054163099,0.071502693,0.505676173,0.154018095,1.49880818,12
7325_2022,2022,PHKM5,7325,3,49,L,90,Mixed,7325_2022_12,0.106986905,0.159234542,0.305094681,0.237135499,0.265075422,1,0.125332718,0.314130862,0.092290351,-0.436234911,3.671087249,0.134276755,0.055633842,0.07018828,0.490987029,0.150973103,1.432332473,12
7418_2022,2022,AM0776,7418,8,39,L,90,IDT,7418_2022_12,0.093190503,0.14655826,0.289969529,0.22537016,0.251767247,1,0.125352986,0.328527238,0.089987354,-0.456573587,3.914570562,0.134300112,0.055323868,0.070518162,0.525007357,0.151736504,1.447215823,12
7391_2022,2022,INB101LFY,7391,6,50,L,90,SS-B14,7391_2022_12,0.106488074,0.161331784,0.311280036,0.241922358,0.271113789,1,0.12537487,0.317275713,0.09325079,-0.42803883,3.722739639,0.134325331,0.056899365,0.068967502,0.499547753,0.148152726,1.375960192,12
7063_2022,2022,PHN11,7063,5,28,H,90,IDT,7063_2022_12,0.099620728,0.14941426,0.297942635,0.231467565,0.258609737,1,0.125564392,0.332013157,0.09136138,-0.445599923,3.976318943,0.134543771,0.055383451,0.070672411,0.509829361,0.152093647,1.449143348,12
7348_2022,2022,B73,7348,4,45,L,90,SS-B73,7348_2022_12,0.098114839,0.147835568,0.285911075,0.222099877,0.247499256,1,0.125609886,0.318332163,0.089528305,-0.461928697,3.740279771,0.134596214,0.054087363,0.072011764,0.500951154,0.155199735,1.512313313,12
7411_2022,2022,OQ601,7411,7,39,L,90,IDT,7411_2022_12,0.092150726,0.143276622,0.282650103,0.219499141,0.24515252,1,0.12576134,0.327224081,0.089117617,-0.466308016,3.891774147,0.134770825,0.055209916,0.071044708,0.519466065,0.152956139,1.461701517,12
7352_2022,2022,LH195,7352,4,49,L,90,SS-B73,7352_2022_12,0.108273241,0.162636764,0.310779826,0.241322153,0.271075602,1,0.125805876,0.312923259,0.093478251,-0.428337894,3.651473804,0.134822176,0.058067095,0.068237267,0.490818469,0.146469191,1.334441059,12
7345_2022,2022,PHJ65,7345,4,42,L,90,Mixed,7345_2022_12,0.094898891,0.144094398,0.28327864,0.219915427,0.243935407,1,0.125922019,0.325673895,0.089324262,-0.465310529,3.864857302,0.134956108,0.051783846,0.074624781,0.512498524,0.161285455,1.637937792,12
7015_2022,2022,R181B,7015,2,29,H,90,Broad origin-public ,7015_2022_12,0.097520796,0.147247802,0.292043694,0.226702839,0.25180618,1,0.125959117,0.329612326,0.090720871,-0.453258921,3.933670916,0.134998891,0.052461584,0.073986436,0.513021734,0.159795578,1.602874852,12
7459_2023,2023,C49A,7459,9,27,H,62,,7459_2023_34,0.012419557,0.015675296,0.02902633,0.022523812,0.026810237,0.052787225,0.126139672,0.298669986,0.028639579,-0.927885339,3.428883707,0.135207149,0.086885733,0.039688919,0.37688048,0.082658464,0.51700263,34
7343_2022,2022,DKHBA1,7343,4,40,L,90,Mixed,7343_2022_12,0.09307474,0.140985042,0.277849092,0.215599818,0.239199836,1,0.126151406,0.326773868,0.088616214,-0.472676675,3.883934415,0.135220685,0.05189102,0.074749707,0.512228938,0.161577268,1.63767909,12
7028_2022,2022,CM99,7028,3,25,H,90,SS-B14,7028_2022_12,0.092138278,0.143400923,0.28691406,0.222563912,0.246755647,1,0.126306046,0.333507181,0.090154383,-0.459992728,4.00313069,0.135399091,0.051546403,0.075249564,0.528561902,0.16274567,1.660005494,12
7344_2022,2022,PHTE4,7344,4,41,L,90,SS-B37,7344_2022_12,0.0937575,0.141934031,0.278308644,0.215866565,0.239483761,1,0.126356154,0.324513956,0.08882534,-0.47187302,3.844858102,0.135456909,0.051865991,0.074981561,0.50988453,0.162119063,1.643924325,12
7351_2022,2022,MS222,7351,4,48,L,90,SS-B37,7351_2022_12,0.102386984,0.153235117,0.296104102,0.229638773,0.257261319,1,0.12642174,0.317953517,0.091666038,-0.44738037,3.733982163,0.13553259,0.056731445,0.07019373,0.494640195,0.15098571,1.406198509,12
