PLOT_YEAR,YEAR,GENOTYPE,PLOT,NTREATMENT,SUBPOPULATION,ID,Blue,Green,NIR,Red,RedEdge,SAVIMASK,NDVI,GNDVI,RDVI,NLI,CVI,MSR,NDI,NDVIRedge,PSRI,CIRedge,MTCI,DAP
7101_2022,2022,787,7101,H,Mixed,7101_2022_12,-1.118393535,-1.200565603,-0.600923593,-0.910838556,-0.800021224,,1.130113017,1.692923047,0.961234175,-0.105328315,1.743004843,1.131693283,0.620371281,1.076431517,0.351158876,1.076393409,0.119926297,12
7101_2022,2022,787,7101,H,Mixed,7101_2022_33,-1.07478746,-1.278734668,-0.97871417,-0.999671962,-1.328379362,-0.003225193,0.561152114,0.922921603,0.222024693,-0.004856581,0.887030399,0.519721887,0.355060961,0.678690573,-0.278372515,0.65013321,0.433874978,33
7101_2022,2022,787,7101,H,Mixed,7101_2022_40,-0.92684692,-1.205193475,-0.807176444,-0.736010818,-1.153485907,0.266934353,0.483624658,0.883969923,0.315015976,0.21843776,0.786845345,0.404406701,0.103451849,0.741391294,0.084374741,0.695594946,1.141890403,40
7101_2022,2022,787,7101,H,Mixed,7101_2022_45,-0.655400643,-0.84981652,0.903766731,-0.662516611,-0.479753199,0.755591665,0.927445389,1.225600666,1.003190529,1.025704933,1.155881941,0.854302066,0.597093173,1.136094142,-0.620496136,1.107158116,1.306593601,45
7101_2022,2022,787,7101,H,Mixed,7101_2022_55,-0.411287178,-0.456499171,1.533835962,-0.291881241,-0.120413664,0.112562086,0.789073696,1.447047914,1.51677928,1.133790671,1.66143023,0.733752991,0.267059638,1.362818334,-0.109862064,1.443894783,1.952681404,55
7101_2022,2022,787,7101,H,Mixed,7101_2022_62,-1.272506895,-1.417982568,1.481759409,-1.149845646,-1.22256982,0.787177221,1.2240828,2.046154822,1.452189982,1.261983795,2.825732949,1.603002775,0.514098036,2.011228732,-0.515877242,2.377609007,2.409289177,62
7101_2022,2022,787,7101,H,Mixed,7101_2022_68,-1.107638633,-1.4885233,1.308565924,-0.984974007,-1.476484244,0.288308439,1.111486102,1.766080643,1.335571307,1.202118678,2.695751816,1.534100183,0.603653445,1.868715675,-0.697052415,2.312153129,2.482119085,68
7101_2022,2022,787,7101,H,Mixed,7101_2022_74,-0.222793161,-0.552986963,1.513267982,-0.004297987,-0.215184222,0.314347555,0.678797358,1.552317103,1.34928641,0.948851102,2.162185876,0.700500001,-0.213851175,1.681254066,0.31741475,1.973306131,2.636065376,74
7101_2022,2022,787,7101,H,Mixed,7101_2022_91,-1.079904483,-1.209501556,1.900654159,-1.072116835,-1.191247965,0.105793265,1.333270731,1.95372518,1.863478963,1.374863372,3.238339296,1.89158853,0.474309238,2.078066283,-0.736802892,2.73712208,2.814549692,91
7303_2022,2022,787,7303,L,Mixed,7303_2022_12,-1.362702856,-0.653329027,-0.741691633,-1.043443829,-0.821325241,,1.177891003,0.238562401,0.959365076,-0.230925146,0.214106081,1.180015311,1.083461604,0.658125258,0.377579041,0.654558747,-0.456399473,12
7303_2022,2022,787,7303,L,Mixed,7303_2022_33,-1.082775707,-0.968132684,0.63031314,-1.247199855,-1.153483524,1.220403253,1.682576353,1.718544504,1.719531449,1.756699268,1.91826408,1.793587181,1.180028405,2.059955023,-1.299778499,2.186216617,1.5095873,33
7303_2022,2022,787,7303,L,Mixed,7303_2022_40,-1.301680724,-1.459990141,-0.262207886,-1.30996236,-1.609171816,1.134564629,1.202212155,1.33379497,1.041701836,1.023574748,1.367069166,1.21011586,0.847632362,1.455858856,-0.889716744,1.490728374,1.692338066,40
7303_2022,2022,787,7303,L,Mixed,7303_2022_45,-1.733159526,-1.985440859,-0.439509646,-1.641776021,-2.011166885,1.171924533,1.260480583,1.329404223,0.816016789,0.851921776,1.307613459,1.265441082,1.028187321,1.417573528,-1.054903824,1.440871146,1.298891972,45
7303_2022,2022,787,7303,L,Mixed,7303_2022_55,-1.105881212,-1.017836717,0.095605468,-1.109505614,-0.98332654,0.112562086,1.199549024,1.282854843,0.907058418,1.135479066,1.367512652,1.37456687,1.102505736,1.40779558,-1.069841819,1.503691747,1.241866804,55
7303_2022,2022,787,7303,L,Mixed,7303_2022_62,-1.240623545,-0.795645796,0.994031335,-1.264710945,-0.467496406,0.745270929,1.175926781,1.314181127,1.1380261,1.142256278,1.380256592,1.509775273,1.190675688,1.119142624,-0.896467731,1.120537099,0.788681213,62
7303_2022,2022,787,7303,L,Mixed,7303_2022_68,-1.461437638,-1.570941778,-0.418932783,-1.102582288,-1.526739276,0.288308439,0.946553861,1.261035994,0.372240682,0.80347289,1.502530809,1.189388308,0.828040792,1.178279575,-0.562236078,1.255455726,1.147798144,68
7303_2022,2022,787,7303,L,Mixed,7303_2022_74,-1.594099708,-1.294719008,0.013691386,-1.313335958,-1.108102917,0.314347555,1.059250638,1.196757842,0.456268438,0.860327403,1.404540346,1.368518318,0.969583259,1.286222395,-0.654405961,1.402335796,1.169669295,74
7303_2022,2022,787,7303,L,Mixed,7303_2022_91,-0.581894307,-0.028644733,0.705529063,0.079947065,0.557405801,0.105793265,0.207399812,0.416924297,0.547204781,0.375964684,0.186410496,0.038433213,0.403972627,-0.10360218,0.402840423,-0.237240088,-0.35341343,91
7042_2022,2022,52220,7042,H,Mixed,7042_2022_12,-0.234106985,0.634442073,1.070934461,0.821881819,0.355476883,,0.181542366,0.273677175,0.554476422,1.175809654,0.249667869,0.176948926,-1.880246313,2.271792537,2.269890086,2.292335749,3.444501452,12
7042_2022,2022,52220,7042,H,Mixed,7042_2022_33,-1.052036857,-1.282342846,-0.825594779,-0.891465813,-1.14528517,0.167897524,0.518786644,1.052393881,0.232846903,0.032289071,1.042512987,0.474972843,0.356599786,0.5965604,-0.15308511,0.564421355,0.300071832,33
7042_2022,2022,52220,7042,H,Mixed,7042_2022_40,-0.511646367,-0.683024964,1.0192254,-0.299502694,-0.545348626,0.14997603,0.494079818,0.981909591,0.63127359,0.626642542,0.906161406,0.415380969,-0.103154254,0.939080447,0.331006379,0.908498724,1.737378595,40
7042_2022,2022,52220,7042,H,Mixed,7042_2022_45,-1.184969676,-1.436373537,0.145215169,-0.844478865,-1.356590054,0.32450999,0.775328114,1.23664708,0.648580968,0.648494446,1.171676738,0.679059691,0.08240494,1.294891945,0.143613464,1.293284187,2.573646504,45
7042_2022,2022,52220,7042,H,Mixed,7042_2022_55,-1.320095842,-1.827687097,-1.762839454,-0.894927142,-1.859674491,0.112562086,0.218416472,1.092653048,-0.995321154,-0.541056331,1.059682133,0.035771469,-0.590886442,1.052662213,0.621346854,1.048657858,2.372453025,55
7042_2022,2022,52220,7042,H,Mixed,7042_2022_62,-2.633421482,-3.269242668,-1.563649044,-1.46272661,-3.450801741,-1.124776955,0.492550695,2.005183278,-0.799040316,-0.07042214,2.72855191,0.414937491,-1.199804422,2.094183744,1.301743312,2.510770172,3.582639532,62
7042_2022,2022,52220,7042,H,Mixed,7042_2022_68,-1.131212579,-1.761216577,-1.024318986,-0.463470765,-1.859297404,-0.159513798,0.201745086,1.209697491,-0.381381056,-0.02648172,1.40259045,0.019921905,-0.90308318,1.212375223,1.083323861,1.302543074,2.158704952,68
7042_2022,2022,52220,7042,H,Mixed,7042_2022_74,-1.708061581,-2.412222479,-1.122656027,-1.017882583,-2.17994199,-0.492029301,0.306282034,1.39412434,-0.718575053,-0.154411708,1.803681135,0.168489602,-0.735716829,1.392649718,0.860469455,1.550322432,2.507936861,74
7042_2022,2022,52220,7042,H,Mixed,7042_2022_91,-2.669312522,-2.542004235,-1.928040655,-1.811500962,-2.463976837,0.105793265,1.06145658,1.794620702,-0.802605231,0.404046523,2.749267445,1.327528784,0.278896065,1.65550988,-0.082286939,1.976485206,2.075552174,91
7309_2022,2022,52220,7309,L,Mixed,7309_2022_12,-0.123857531,-0.382579567,-1.18063111,-0.672314108,-1.058053199,,-0.910868732,-1.077315687,-1.310068576,-1.609102158,-1.073027774,-0.911832101,-1.353744681,0.039460607,-0.120643917,0.034125791,1.162988546,12
7309_2022,2022,52220,7309,L,Mixed,7309_2022_33,0.964303858,0.687069386,0.007098551,0.865593518,0.275700549,-0.967175599,-0.91839329,-0.884626027,-0.834205031,-0.75315785,-0.887637506,-0.923398271,-1.41745637,-0.333496446,1.151986825,-0.366414563,1.936883639,33
7309_2022,2022,52220,7309,L,Mixed,7309_2022_40,0.850991094,0.506399204,-1.442835535,0.711275267,0.127069152,-1.23222956,-1.062062726,-1.043300548,-1.186880428,-1.244233839,-0.968149254,-1.026916863,-1.25384858,-0.813368773,0.920720489,-0.81354874,-0.199948518,40
7309_2022,2022,52220,7309,L,Mixed,7309_2022_45,0.579639667,0.161092173,-0.988856994,0.463929415,-0.254283827,-1.296207058,-0.886274855,-0.837211429,-0.963671357,-1.033651339,-0.784418259,-0.864889754,-1.042583498,-0.683859662,0.835591636,-0.695558972,0.241287099,45
7309_2022,2022,52220,7309,L,Mixed,7309_2022_55,0.428822935,-0.097191278,-1.17698949,0.600749981,-0.412252709,0.112562086,-1.259613516,-0.896280174,-1.554677629,-1.624556627,-0.866010712,-1.189182409,-1.603165694,-0.664143899,1.472733453,-0.707459053,0.601276119,55
7309_2022,2022,52220,7309,L,Mixed,7309_2022_62,-1.001735851,-1.82620769,-1.923210845,-0.053261613,-1.971994971,-2.329868031,-0.814157416,0.170336454,-1.566578765,-1.297572282,-0.041128816,-0.958586366,-1.595670965,0.151974817,1.603190885,0.040808996,0.73767079,62
7309_2022,2022,52220,7309,L,Mixed,7309_2022_68,0.28138065,-0.355427075,-1.30938915,0.653345541,-0.48754944,-0.948840769,-0.94034053,-0.2927231,-1.206867825,-1.143632027,-0.495222105,-1.103117517,-1.567048763,-0.284951237,1.544216712,-0.397183559,0.255819657,68
7309_2022,2022,52220,7309,L,Mixed,7309_2022_74,-0.440792721,-1.237078116,-1.376083825,0.10453549,-1.520680531,-1.461749677,-0.872596999,-0.137848413,-1.358377007,-1.259638787,-0.365251952,-1.036468624,-1.729657909,0.13341637,1.62930209,0.027196219,1.222592282,74
7309_2022,2022,52220,7309,L,Mixed,7309_2022_91,-0.962430538,-0.992167697,-1.344538707,-0.165666327,-0.832879383,0.105793265,-0.348384288,0.234231217,-1.028658162,-0.660995821,-0.016025943,-0.559291939,-0.810415001,-0.014915054,1.144527374,-0.15166482,0.073930317,91
7092_2022,2022,A,7092,H,Broad origin-public ,7092_2022_12,0.782691615,0.26902305,0.847746823,0.41767102,0.903434586,,0.7632579,0.707628081,1.088800197,1.216071173,0.694551682,0.76140901,1.67217474,-0.605370082,-1.435033307,-0.608205569,-1.528221743,12
7092_2022,2022,A,7092,H,Broad origin-public ,7092_2022_33,-0.450395779,-0.623013928,-1.398735738,-0.280384692,-0.574682683,-0.912330121,-0.524414945,-0.365249807,-0.853599837,-1.08911611,-0.444266624,-0.561431718,-0.228337947,-0.782424359,0.382941725,-0.791078653,-1.048257398,33
7092_2022,2022,A,7092,H,Broad origin-public ,7092_2022_40,0.88163029,0.933836667,-0.142400325,0.926758444,1.188110359,-0.897429092,-0.893237097,-0.926521497,-0.84352574,-0.821711602,-0.887169275,-0.886607381,-0.541506908,-1.153579797,0.590850846,-1.109194361,-1.471900622,40
7092_2022,2022,A,7092,H,Broad origin-public ,7092_2022_45,1.115897085,1.067103055,0.018622776,1.096226819,1.42517291,-0.652593266,-0.820209697,-0.726387383,-0.655156649,-0.607399727,-0.716160673,-0.813533986,-0.511234385,-1.063521525,0.549170071,-1.008736625,-1.507717305,45
7092_2022,2022,A,7092,H,Broad origin-public ,7092_2022_55,0.442247579,1.058626451,0.723633923,0.612175622,1.440535118,0.112562086,-0.311049577,-0.640968239,0.2296697,0.010451431,-0.706338591,-0.477153331,0.16207307,-1.089870709,0.232042554,-1.055731029,-1.781203708,55
7092_2022,2022,A,7092,H,Broad origin-public ,7092_2022_62,-0.225068437,1.078605919,-0.109604654,-0.127141897,1.107802752,0.126151808,0.110561934,-0.908891638,-0.016817458,0.091306817,-0.864018376,-0.060267035,0.807761241,-0.931350118,-0.298340196,-0.921412343,-1.253499008,62
7092_2022,2022,A,7092,H,Broad origin-public ,7092_2022_68,-0.179740387,0.811085929,0.851068244,-0.468195477,1.010466325,0.288308439,0.601518066,-0.273230346,0.78987603,0.695451625,-0.479284243,0.58264649,1.311534107,-0.377197992,-1.023924142,-0.481872461,-0.983614295,68
7092_2022,2022,A,7092,H,Broad origin-public ,7092_2022_74,0.96883358,2.157632856,2.00330668,0.494676213,2.854127361,0.314347555,0.545691174,0.014683527,1.606395216,0.964610381,-0.221129205,0.498646842,1.233295147,-0.531913389,-0.769045639,-0.614959656,-1.273272846,74
7092_2022,2022,A,7092,H,Broad origin-public ,7092_2022_91,0.327027506,0.256072065,0.055899043,-0.101099842,0.01188164,0.105793265,0.139296465,-0.19607205,0.111943926,0.169779586,-0.419629828,-0.042628966,0.125197461,0.021005159,-0.449700666,-0.116398888,-0.152959561,91
7320_2022,2022,A,7320,L,Broad origin-public ,7320_2022_12,-0.236900366,-0.485246691,-0.707398122,-1.007852413,-0.856409541,,1.156858858,-0.080025361,0.95034212,-0.204478228,-0.105592759,1.1587409,0.801393487,0.925355338,-1.336668895,0.923824759,-0.103473003,12
7320_2022,2022,A,7320,L,Broad origin-public ,7320_2022_33,0.050402126,0.10085163,-0.369948851,0.003445539,-0.042899037,-0.085774608,-0.234650205,-0.453259146,-0.303250449,-0.381005703,-0.522730434,-0.28546177,-0.13784136,-0.335101921,0.037716526,-0.36796077,-0.473549565,33
7320_2022,2022,A,7320,L,Broad origin-public ,7320_2022_40,0.220134693,0.366695098,-0.023274828,0.092398866,0.363303361,-0.143607908,-0.119111898,-0.366230425,-0.100858765,-0.145557937,-0.459915378,-0.196032338,0.110804382,-0.365851117,-0.261162195,-0.406952132,-0.746391843,40
7320_2022,2022,A,7320,L,Broad origin-public ,7320_2022_45,-0.28201449,-0.175807516,-0.441453901,-0.346767482,-0.352849515,-0.027078874,0.079926522,-0.146545447,-0.06289593,-0.118583902,-0.307762341,-0.03939672,0.162333125,-0.079586437,-0.279988277,-0.156801239,-0.562605967,45
7320_2022,2022,A,7320,L,Broad origin-public ,7320_2022_55,-0.728875844,-0.421919607,-0.794399269,-0.941951805,-0.734560386,0.112562086,0.70831757,-0.123349274,-0.014937622,0.382880183,-0.322497054,0.623245515,0.976113432,0.227634099,-1.18023689,0.124521419,-0.590105462,55
7320_2022,2022,A,7320,L,Broad origin-public ,7320_2022_62,0.034003489,1.229164644,0.061935766,-0.561762732,1.321622313,0.111411363,0.45758806,-0.889407186,0.243035229,0.399534863,-0.852078226,0.368112022,1.381039996,-0.949258481,-1.099706402,-0.935575882,-1.400059049,62
7320_2022,2022,A,7320,L,Broad origin-public ,7320_2022_68,-0.109314792,0.762969838,0.43541111,-0.451220482,0.979051997,0.288308439,0.508971557,-0.419210793,0.530981072,0.546130864,-0.594953945,0.44091595,1.266352847,-0.563849633,-1.047755922,-0.64760771,-1.15606003,68
7320_2022,2022,A,7320,L,Broad origin-public ,7320_2022_74,0.095050912,0.77444939,0.215328812,-0.413703726,0.602525845,0.314347555,0.468239265,-0.377887579,0.361787774,0.479820789,-0.571214703,0.387488631,0.961982538,-0.334623997,-1.0484255,-0.434096629,-0.964707641,74
7320_2022,2022,A,7320,L,Broad origin-public ,7320_2022_91,1.136035982,1.222251881,-0.455043988,0.977943131,1.140923582,0.105793265,-0.925622566,-1.437448906,-0.738736005,-0.800767169,-1.195694119,-1.05827664,-0.310057704,-1.373286068,0.384351207,-1.267048429,-1.330031534,91
7074_2022,2022,A321,7074,H,Broad origin-public ,7074_2022_12,-0.479301234,-0.211466658,0.238628095,-0.200688711,-0.112855733,,1.076856736,0.808954498,1.203400435,0.738509638,0.799889694,1.077857109,0.364701743,1.26594908,0.344984325,1.268133124,0.433076043,12
7074_2022,2022,A321,7074,H,Broad origin-public ,7074_2022_33,-1.052400203,-1.107291256,-1.412779927,-0.957986826,-0.832297134,0.069580518,0.260667222,0.310475673,-0.172390857,-0.467651314,0.208450147,0.207077683,0.92940748,-0.461417379,-0.718909291,-0.488986323,-1.943100738,33
7074_2022,2022,A321,7074,H,Broad origin-public ,7074_2022_40,-1.023835191,-1.064582741,-0.821340343,-0.900641181,-0.959488868,0.770247598,0.64726688,0.734681843,0.456794552,0.366593659,0.611902698,0.578548501,0.684272624,0.538155742,-0.49308163,0.482067803,0.248280942,40
7074_2022,2022,A321,7074,H,Broad origin-public ,7074_2022_45,-0.849777259,-0.561444405,0.704660439,-0.604436863,-0.116455695,0.903328413,0.802577668,0.899217568,0.843574235,0.859143067,0.723950313,0.709917417,0.818982048,0.691242988,-0.521532008,0.613362972,0.083023029,45
7074_2022,2022,A321,7074,H,Broad origin-public ,7074_2022_55,-1.12068439,-1.336347042,-1.945552446,-0.702740214,-1.222290703,0.112562086,-0.141716018,0.137787689,-1.342755445,-1.009020109,-0.091585558,-0.324293934,-0.139014717,-0.30041947,0.38143865,-0.386205443,-0.500920411,55
7074_2022,2022,A321,7074,H,Broad origin-public ,7074_2022_62,-1.705126753,-1.543769999,-1.52218079,-0.769509686,-1.485103642,-0.963207372,-0.036636614,0.236694399,-0.984687368,-0.499311337,0.022557214,-0.224357402,-0.207048422,0.04757229,0.681456873,-0.061949063,0.002038475,62
