PLOT_YEAR,YEAR,GENOTYPE,PLOT,RANGE,PASS,NTREATMENT,FTREATMENT,PLANTINGDATE,SEEDSPLANTED,LOCATION,SUBPOPULATION,TYPE
9807_2020,2020,B73xMo17,9807,50,4,H,,5/25/2020,90,MSU,,Hybrid
9842_2020,2020,B73xMo17,9842,50,9,H,,5/25/2020,90,MSU,,Hybrid
9854_2020,2020,B73xMo17,9854,49,13,L,,5/25/2020,90,MSU,,Hybrid
9882_2020,2020,B73xMo17,9882,45,17,L,,5/25/2020,90,MSU,,Hybrid
9819_2020,2020,B73xPHK76,9819,50,6,H,,5/25/2020,90,MSU,,Hybrid
9834_2020,2020,B73xPHK76,9834,47,8,H,,5/25/2020,90,MSU,,Hybrid
9866_2020,2020,B73xPHK76,9866,49,15,L,,5/25/2020,90,MSU,,Hybrid
9885_2020,2020,B73xPHK76,9885,47,18,L,,5/25/2020,90,MSU,,Hybrid
9817_2020,2020,B73xPHN82,9817,49,5,H,,5/25/2020,90,MSU,,Hybrid
9843_2020,2020,B73xPHN82,9843,50,10,H,,5/25/2020,90,MSU,,Hybrid
9861_2020,2020,B73xPHN82,9861,47,14,L,,5/25/2020,90,MSU,,Hybrid
9880_2020,2020,B73xPHN82,9880,47,17,L,,5/25/2020,90,MSU,,Hybrid
9815_2020,2020,B73xPHZ51,9815,47,5,H,,5/25/2020,90,MSU,,Hybrid
9823_2020,2020,B73xPHZ51,9823,46,6,H,,5/25/2020,90,MSU,,Hybrid
9860_2020,2020,B73xPHZ51,9860,46,14,L,,5/25/2020,90,MSU,,Hybrid
9872_2020,2020,B73xPHZ51,9872,46,16,L,,5/25/2020,90,MSU,,Hybrid
9803_2020,2020,LH145xLH82,9803,47,3,H,,5/25/2020,90,MSU,,Hybrid
9827_2020,2020,LH145xLH82,9827,47,7,H,,5/25/2020,90,MSU,,Hybrid
9849_2020,2020,LH145xLH82,9849,47,12,L,,5/25/2020,90,MSU,,Hybrid
9886_2020,2020,LH145xLH82,9886,48,18,L,,5/25/2020,90,MSU,,Hybrid
